1000,76.7
2000,73.2
3000,75.4
4000,74.6
5000,77.1
6000,75.2
7000,75.9
8000,77.1
9000,76.5
10000,73.4
11000,73.9
12000,76.3
13000,76.5
14000,74.4
15000,77.0
16000,74.1
17000,74.0
18000,75.4
19000,74.4
20000,72.8
21000,72.8
22000,75.1
23000,75.9
24000,75.2
25000,75.5
26000,73.1
27000,75.9
28000,73.5
29000,74.3
30000,73.5
31000,74.0
32000,74.6
33000,75.4
34000,75.7
35000,74.1
36000,75.3
37000,74.8
38000,73.8
39000,79.2
40000,74.1
41000,75.8
42000,75.0
43000,77.2
44000,74.9
45000,75.1
46000,76.4
47000,74.1
48000,75.1
49000,74.9
50000,77.4
