1000,0.279
2000,0.255
3000,0.251
4000,0.244
5000,0.303
6000,0.276
7000,0.289
8000,0.286
9000,0.297
10000,0.277
11000,0.259
12000,0.274
13000,0.255
14000,0.276
15000,0.27
16000,0.252
17000,0.284
18000,0.281
19000,0.26
20000,0.26
21000,0.248
22000,0.307
23000,0.268
24000,0.253
25000,0.275
26000,0.272
27000,0.276
28000,0.265
29000,0.287
30000,0.262
31000,0.276
32000,0.248
33000,0.272
34000,0.241
35000,0.281
36000,0.292
37000,0.28
38000,0.292
39000,0.259
40000,0.255
41000,0.253
42000,0.25
43000,0.278
44000,0.291
45000,0.26
46000,0.256
47000,0.24
48000,0.238
49000,0.269
50000,0.286
