1000,0.225
2000,0.263
3000,0.228
4000,0.237
5000,0.272
6000,0.26
7000,0.288
8000,0.267
9000,0.241
10000,0.278
11000,0.235
12000,0.274
13000,0.249
14000,0.207
15000,0.239
16000,0.289
17000,0.3
18000,0.24
19000,0.204
20000,0.285
21000,0.254
22000,0.242
23000,0.282
24000,0.289
25000,0.244
26000,0.27
27000,0.321
28000,0.258
29000,0.315
30000,0.285
31000,0.297
32000,0.236
33000,0.301
34000,0.235
35000,0.287
36000,0.271
37000,0.237
38000,0.234
39000,0.224
40000,0.215
41000,0.268
42000,0.247
43000,0.263
44000,0.241
45000,0.267
46000,0.26
47000,0.292
48000,0.258
49000,0.264
50000,0.234
