1000,0.275
2000,0.266
3000,0.24
4000,0.272
5000,0.262
6000,0.259
7000,0.293
8000,0.254
9000,0.318
10000,0.276
11000,0.269
12000,0.326
13000,0.269
14000,0.298
15000,0.269
16000,0.266
17000,0.249
18000,0.261
19000,0.253
20000,0.267
21000,0.277
22000,0.262
23000,0.303
24000,0.268
25000,0.275
26000,0.237
27000,0.285
28000,0.241
29000,0.224
30000,0.226
31000,0.28
32000,0.289
33000,0.282
34000,0.293
35000,0.249
36000,0.245
37000,0.26
38000,0.267
39000,0.244
40000,0.237
41000,0.297
42000,0.258
43000,0.304
44000,0.292
45000,0.283
46000,0.26
47000,0.3
48000,0.312
49000,0.26
50000,0.229
