1000,0.303
2000,0.26
3000,0.306
4000,0.257
5000,0.292
6000,0.304
7000,0.242
8000,0.243
9000,0.258
10000,0.223
11000,0.252
12000,0.269
13000,0.253
14000,0.278
15000,0.215
16000,0.29
17000,0.249
18000,0.253
19000,0.264
20000,0.272
21000,0.271
22000,0.282
23000,0.228
24000,0.228
25000,0.249
26000,0.24
27000,0.287
28000,0.256
29000,0.225
30000,0.266
31000,0.255
32000,0.268
33000,0.24
34000,0.281
35000,0.274
36000,0.271
37000,0.281
38000,0.245
39000,0.249
40000,0.238
41000,0.271
42000,0.274
43000,0.277
44000,0.24
45000,0.261
46000,0.262
47000,0.229
48000,0.275
49000,0.289
50000,0.258
