1000,73.6
2000,73.1
3000,74.9
4000,75.9
5000,74.0
6000,76.7
7000,73.4
8000,77.3
9000,73.2
10000,75.9
11000,75.0
12000,73.4
13000,74.2
14000,75.8
15000,75.6
16000,76.3
17000,75.4
18000,75.1
19000,76.6
20000,73.7
21000,75.9
22000,75.8
23000,74.6
24000,74.1
25000,76.1
26000,72.6
27000,77.3
28000,77.0
29000,75.3
30000,75.1
31000,75.7
32000,77.8
33000,76.4
34000,76.9
35000,74.5
36000,72.0
37000,77.0
38000,75.5
39000,74.3
40000,76.9
41000,73.1
42000,74.6
43000,73.8
44000,74.1
45000,74.3
46000,74.0
47000,74.9
48000,76.0
49000,75.2
50000,74.9
