1000,0.267
2000,0.289
3000,0.271
4000,0.287
5000,0.273
6000,0.239
7000,0.294
8000,0.247
9000,0.271
10000,0.269
11000,0.266
12000,0.271
13000,0.28
14000,0.258
15000,0.238
16000,0.277
17000,0.288
18000,0.299
19000,0.294
20000,0.25
21000,0.286
22000,0.288
23000,0.256
24000,0.297
25000,0.267
26000,0.282
27000,0.297
28000,0.265
29000,0.257
30000,0.268
31000,0.296
32000,0.272
33000,0.282
34000,0.289
35000,0.28
36000,0.283
37000,0.294
38000,0.248
39000,0.285
40000,0.283
41000,0.236
42000,0.267
43000,0.253
44000,0.307
45000,0.259
46000,0.304
47000,0.257
48000,0.302
49000,0.248
50000,0.251
