1000,72.7
2000,77.6
3000,74.9
4000,72.5
5000,71.5
6000,74.7
7000,74.0
8000,73.5
9000,75.0
10000,76.3
11000,74.6
12000,74.8
13000,75.5
14000,75.0
15000,75.4
16000,74.0
17000,74.6
18000,72.4
19000,74.1
20000,75.6
21000,72.8
22000,76.3
23000,73.9
24000,72.5
25000,72.9
26000,74.8
27000,76.5
28000,73.5
29000,74.7
30000,74.4
31000,72.4
32000,71.6
33000,74.9
34000,74.6
35000,72.0
36000,73.7
37000,71.9
38000,76.7
39000,73.8
40000,76.9
41000,76.6
42000,73.3
43000,76.8
44000,76.8
45000,75.3
46000,73.2
47000,74.8
48000,75.9
49000,73.9
50000,73.9
