1000,0.276
2000,0.242
3000,0.259
4000,0.244
5000,0.233
6000,0.202
7000,0.237
8000,0.268
9000,0.264
10000,0.272
11000,0.234
12000,0.264
13000,0.24
14000,0.25
15000,0.235
16000,0.252
17000,0.25
18000,0.273
19000,0.236
20000,0.242
21000,0.236
22000,0.263
23000,0.254
24000,0.247
25000,0.261
26000,0.262
27000,0.27
28000,0.233
29000,0.272
30000,0.253
31000,0.252
32000,0.224
33000,0.268
34000,0.258
35000,0.259
36000,0.226
37000,0.24
38000,0.24
39000,0.262
40000,0.246
41000,0.254
42000,0.214
43000,0.285
44000,0.223
45000,0.216
46000,0.207
47000,0.284
48000,0.267
49000,0.257
50000,0.289
